JPT_KOD_JE,JPT_NAZWA_,Dlugosc,Szerokosc
206011,Karpacz,15.74104,50.76247
2415062,Gorzyce,18.38037,49.97074
2606032,Lipnik,21.48827,50.73461
611092,Trzebieszów,22.52415,51.99600
3217023,Człopa,16.15432,53.09566
1202042,Dębno,20.71594,49.94557
1206072,Liszki,19.75000,50.04299
1428072,Sochaczew,20.26890,52.22491
3027052,Malanów,18.38457,51.95678
1010072,Ręczno,19.87233,51.19054
1428022,Brochów,20.32563,52.34171
1435053,Wyszków,21.45815,52.58425
1423043,Odrzywół,20.51139,51.54665
1406092,Pniewy,20.72910,51.90671
1411032,Karniewo,20.98868,52.84208
1204062,Radgoszcz,21.11742,50.19329
1215032,Budzów,19.71198,49.77896
212023,Lubomierz,15.54460,51.00332
206092,Stara Kamienica,15.56189,50.89651
219083,Żarów,16.52571,50.95602
204022,Jemielno,16.51542,51.55746
2407011,Lubliniec,18.69762,50.63408
216043,Polkowice,16.07778,51.49993
2413082,Tworóg,18.73497,50.52771
2465011,Dąbrowa Górnicza,19.29961,50.35429
209073,Prochowice,16.38066,51.26152
206031,Piechowice,15.58018,50.83144
2413011,Kalety,18.92505,50.55684
202052,Dzierżoniów,16.66023,50.73414
1812053,Nisko,22.14118,50.48111
1812073,Ulanów,22.31316,50.49966
1606012,Domaszowice,17.87187,51.04751
1607092,Skoroszyce,17.38536,50.59796
2414031,Lędziny,19.12380,50.12685
1816122,Świlcza,21.86174,50.09245
1816082,Kamień,22.11968,50.32064
1816011,Dynów,22.23307,49.81205
2061011,Białystok,23.15881,53.13222
601113,Piszczac,23.39710,51.96049
601082,Leśna Podlaska,23.03450,52.12614
601142,Sławatycze,23.55063,51.79126
3019033,Kaczory,16.89627,53.11914
1016062,Lubochnia,20.05759,51.60359
3214023,Chociwel,15.34346,53.47431
265011,Wałbrzych,16.29003,50.78644
218043,Środa Śląska,16.60208,51.16340
214032,Dobroszyce,17.33066,51.29415
220033,Trzebnica,17.10182,51.35598
220013,Oborniki Śląskie,16.89218,51.28861
211022,Lubin,16.19424,51.36411
224063,Ziębice,17.03375,50.59580
204013,Góra,16.54846,51.67871
224033,Kamieniec Ząbkowicki,16.90888,50.51364
1601033,Grodków,17.35368,50.69000
1418032,Lesznowola,20.91468,52.07448
2006062,Turośl,21.71901,53.40772
2602082,Sobków,20.44575,50.70535
2417092,Milówka,19.05493,49.55932
1436053,Zwoleń,21.58648,51.35349
1602022,Branice,17.82431,50.06203
1809082,Wielkie Oczy,23.11782,50.04166
2406032,Lipie,18.78538,51.03408
2011022,Janów,23.28041,53.45194
2212102,Ustka,16.93178,54.57093
618123,Tyszowce,23.66813,50.62598
3205023,Gryfice,15.16820,53.90681
3001032,Chodzież,16.88943,52.99287
2007013,Jedwabne,22.34814,53.29778
1808042,Leżajsk,22.41340,50.23889
1818053,Zaklików,22.08504,50.73633
811021,Żary,15.15018,51.62651
1002022,Bedlno,19.59666,52.17466
1013032,Cielądz,20.34817,51.69495
2001052,Nowinka,23.00607,53.95226
